z,n,bindingEnergy(keV),xx,yy,zz
1,0,0.0,0,1,1.0
1,1,1112.2831,1,1,0.8735259445460319
2,1,2572.68044,1,2,0.7074689630419639
3,1,1153.7603,1,3,0.8688097084611042
4,1,18.0,1,4,0.9979532791623181
1,2,2827.2654,2,1,0.6785209440090519
2,2,7073.9156,2,2,0.195648307637606
3,2,5266.1325,2,3,0.40120538212533885
4,2,4487.2478,2,4,0.4897698013276509
5,2,3558.7055,2,5,0.5953512943320445
6,2,3101.5242,2,6,0.647335877293628
1,3,1720.4491,3,1,0.8043733876032735
2,3,5512.1325,3,2,0.3732335306770195
3,3,5332.3312,3,3,0.39367814552992475
4,3,5371.5487,3,4,0.38921885250482524
5,3,4717.1551,3,5,0.4636277979029185
6,3,4337.4233,3,6,0.506805852780166
7,3,3643.6724,3,7,0.5856899874018647
8,3,3162.4372,3,8,0.6404096602721991
1,4,1336.3592,4,1,0.8480469877073378
2,4,4878.5199,4,2,0.4452795368680088
3,4,5606.4401,4,3,0.36251012345081
4,4,7062.4356,4,4,0.19695366070519427
5,4,6257.0713,4,5,0.2885289881904777
6,4,6032.0426,4,6,0.3141162620441704
7,4,5358.4023,4,7,0.3907136864392976
8,4,4881.9755,4,8,0.44488661194985923
9,4,4297.0,4,9,0.5114022533600476
1,5,961.6395,5,1,0.8906551331673329
2,5,4123.0578,5,2,0.5311806492096162
3,5,5159.7124,5,3,0.41330606191523833
4,5,6462.6693,5,4,0.26515111536904856
5,5,6475.0835,5,5,0.2637395374899847
6,5,6676.4563,5,6,0.24084209827318737
7,5,6170.11,5,7,0.2984170717894725
8,5,5811.7636,5,8,0.3391634631221555
9,5,5285.2091,5,9,0.3990362446402209
10,5,4868.7285,5,10,0.44639288477967987
1,6,940.0,6,1,0.8931156895877228
2,6,3924.521,6,2,0.5537556161877653
3,6,5037.7685,6,3,0.42717190197958277
4,6,6497.6306,6,4,0.26117578085669024
5,6,6927.7323,6,5,0.21227033020600083
6,6,7680.1446,6,6,0.12671600059832477
7,6,7238.8634,6,7,0.17689263544928457
8,6,7052.2783,6,8,0.19810861390322687
9,6,6497.4597,6,9,0.2611952133339769
10,6,6083.1777,6,10,0.3083018578937844
11,6,5522.7653,6,11,0.3720245099368581
2,7,3349.038,7,2,0.6191918966228595
3,7,4531.3512,7,3,0.48475494867250546
4,7,5952.5402,7,4,0.32315621864004385
5,7,6631.2237,7,5,0.24598534854888354
6,7,7469.8495,7,6,0.1506279652223469
7,7,7475.6148,7,7,0.1499724119087088
8,7,7463.6915,7,8,0.1513281711622606
9,7,6964.049,7,9,0.20814087761456512
10,7,6640.4991,7,10,0.24493067330122598
11,7,6202.2176,7,11,0.29476622212458614
12,7,5901.4992,7,12,0.32895992298871723
2,8,2995.134,8,2,0.6594331572528026
3,8,4155.3817,8,3,0.5275052047826636
4,8,5720.7223,8,4,0.3495154701110249
5,8,6496.4194,8,5,0.26131350242772367
6,8,7520.3198,8,6,0.14488915329489938
7,8,7699.4603,8,7,0.12451967583807966
8,8,7976.2072,8,8,0.09305169544953129
9,8,7542.3284,8,9,0.14238662772666566
10,8,7341.2577,8,10,0.16524971614540385
11,8,6937.8864,8,11,0.2111157408694504
12,8,6728.0252,8,12,0.23497836815061324
13,8,6297.0,8,13,0.2839888269509472
14,8,6044.0,8,14,0.31275662539169835
3,9,3791.5999,9,3,0.5688696375842985
4,9,5241.4359,9,4,0.40401355133866623
5,9,6101.6451,9,5,0.30620199053835073
6,9,7100.1696,9,6,0.19266305158913377
7,9,7373.7971,9,7,0.1615497679217558
8,9,7750.7291,9,8,0.11869006910013824
9,9,7631.6383,9,9,0.13223149254103872
10,9,7567.3431,9,10,0.13954228840786786
11,9,7298.5028,9,11,0.17011123529779304
12,9,7105.0317,9,12,0.192110198178862
13,9,6782.0,9,13,0.22884107104674023
14,9,6554.0,9,14,0.25476620165737773
