z,n,bindingEnergy(keV)
1,0,0
3,0,-2267
1,1,1112.2831
2,1,2572.68044
3,1,1153.7603
4,1,18
5,1,-467
1,2,2827.2654
2,2,7073.9156
3,2,5266.1325
4,2,4487.2478
5,2,3558.7055
6,2,3101.5242
1,3,1720.4491
2,3,5512.1325
3,3,5332.3312
4,3,5371.5487
5,3,4717.1551
6,3,4337.4233
7,3,3643.6724
8,3,3162.4372
1,4,1336.3592
2,4,4878.5199
3,4,5606.4401
4,4,7062.4356
5,4,6257.0713
6,4,6032.0426
7,4,5358.4023
8,4,4881.9755
9,4,4297
1,5,961.6395
2,5,4123.0578
3,5,5159.7124
4,5,6462.6693
5,5,6475.0835
6,5,6676.4563
7,5,6170.11
8,5,5811.7636
9,5,5285.2091
10,5,4868.7285
1,6,940
2,6,3924.521
3,6,5037.7685
4,6,6497.6306
5,6,6927.7323
6,6,7680.1446
7,6,7238.8634
8,6,7052.2783
9,6,6497.4597
10,6,6083.1777
11,6,5522.7653
2,7,3349.038
3,7,4531.3512
4,7,5952.5402
5,7,6631.2237
6,7,7469.8495
7,7,7475.6148
8,7,7463.6915
9,7,6964.049
10,7,6640.4991
11,7,6202.2176
12,7,5901.4992
2,8,2995.134
3,8,4155.3817
4,8,5720.7223
5,8,6496.4194
6,8,7520.3198
7,8,7699.4603
8,8,7976.2072
9,8,7542.3284
10,8,7341.2577
11,8,6937.8864
12,8,6728.0252
13,8,6297
14,8,6044
3,9,3791.5999
4,9,5241.4359
5,9,6101.6451
6,9,7100.1696
7,9,7373.7971
8,9,7750.7291
9,9,7631.6383
10,9,7567.3431
11,9,7298.5028
12,9,7105.0317
13,9,6782
14,9,6554
15,9,6165
3,10,3507.6307
4,10,4993.8973
5,10,5880.0438
6,10,6922.0546
7,10,7286.2294
8,10,7767.0981
9,10,7779.0192
10,10,8032.2412
11,10,7765.5581
12,10,7662.7645
13,10,7335.7275
14,10,7167.2329
15,10,6794
16,10,6525
4,11,4540.9708
5,11,5507.3535
6,11,6558.0262
7,11,7038.5627
8,11,7566.4952
9,11,7720.1351
10,11,7971.7136
11,11,7915.6624
12,11,7901.1229
13,11,7649.5806
14,11,7480.1109
15,11,7198
16,11,6960
17,11,6587
18,11,6276
4,12,4285.2851
5,12,5269.6677
6,12,6426.1321
7,12,6948.5452
8,12,7568.5707
9,12,7738.2934
10,12,8080.4656
11,12,8111.4936
12,12,8260.7103
13,12,8021.1366
14,12,7924.7083
15,12,7661.0894
16,12,7478.7911
17,12,7129
18,12,6866
19,12,6487
5,13,4976.6306
6,13,6118.274
7,13,6709.1717
8,13,7389.3747
9,13,7624.2954
10,13,7955.2561
11,13,8063.4882
12,13,8223.5028
13,13,8149.7653
14,13,8124.342
15,13,7907.4842
16,13,7746.3826
17,13,7472.1698
18,13,7252
19,13,6920
20,13,6657
5,14,4719.6346
6,14,5961.4356
7,14,6609.0159
8,14,7364.8722
9,14,7622.3447
10,14,7993.3252
11,14,8101.3979
12,14,8333.8711
13,14,8331.5533
14,14,8447.7445
15,14,8251.2368
16,14,8122.7081
17,14,7869.2101
18,14,7700.0089
19,14,7392
20,14,7173
21,14,6828
5,15,4405.6529
6,15,5674
7,15,6378.5347
8,15,7163.4856
9,15,7463.5831
10,15,7839.7994
11,15,8004.2013
12,15,8263.8525
13,15,8309.8969
14,15,8448.6361
15,15,8353.5064
16,15,8281.8013
17,15,8072.4058
18,15,7928.9559
19,15,7670
20,15,7476
21,15,7166
22,15,6926
5,16,4152.5265
6,16,5421.0778
7,16,6236.6721
8,16,7039.6855
9,16,7336.3065
10,16,7751.911
11,16,7956.9467
12,16,8272.4531
13,16,8348.4647
14,16,8520.6549
15,16,8481.1677
16,16,8493.1301
17,16,8304.7557
18,16,8197.6724
19,16,7965.8409
20,16,7815.8799
21,16,7525
22,16,7319
23,16,7031
6,17,5077
7,17,5887
8,17,6727.8058
9,17,7082.2497
10,17,7520.4151
11,17,7799.2644
12,17,8113.5317
13,17,8261.1049
14,17,8458.2916
15,17,8464.1203
16,17,8497.6304
17,17,8398.9706
18,17,8327.4621
19,17,8142.2233
20,17,8003.4567
21,17,7751
22,17,7566
23,17,7310
24,17,7116
7,18,5613
8,18,6497.479
9,18,6879.6662
10,18,7388.3463
11,18,7682.1522
12,18,8054.425
13,18,8225.518
14,18,8481.469
15,18,8513.8073
16,18,8583.4986
17,18,8520.279
18,18,8519.9096
19,18,8339.848
20,18,8240.0434
21,18,8013.4575
22,18,7865.8632
23,18,7625
24,18,7456
25,18,7213
8,19,6185
9,19,6626.8567
10,19,7167.0673
11,19,7501.9685
12,19,7869.1886
13,19,8100.3449
14,19,8361.0596
15,19,8448.1856
16,19,8537.8511
17,19,8521.9322
18,19,8527.1406
19,19,8438.0593
20,19,8369.6711
21,19,8173.6697
22,19,8034.3889
23,19,7824
24,19,7680
25,19,7457
26,19,7299
8,20,5988
9,20,6444.0314
10,20,7034.5317
11,20,7398.6778
12,20,7803.8411
13,20,8020.6172
14,20,8337.1659
15,20,8446.2496
16,20,8575.39
17,20,8570.2816
18,20,8614.2807
19,20,8557.0258
20,20,8551.3046
21,20,8369.1979
22,20,8259.24
23,20,8069.5129
24,20,7949.6265
25,20,7747
26,20,7603
27,20,7396
28,20,7236
9,21,6205
10,21,6813.0902
11,21,7219.8815
12,21,7636.4382
13,21,7860.3506
14,21,8169.5644
15,21,8307.8692
16,21,8459.9363
17,21,8505.4817
18,21,8562.5988
19,21,8538.0907
20,21,8546.7075
21,21,8444.9303
22,21,8352.8054
23,21,8203.4567
